Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
1003;Saint-Denis - Rivoli;43;48.8590593408,2.34769430012
44011;Lebrun - Colonel Fabien;27;48.7826687073,2.38131780177
8027;Mairie du 8ème;14;48.877932,2.318264
21315;Jules Guesdes - Général de Gaulle;24;48.8193058129,2.27893419564
1020;Cambon - Rivoli;40;48.866143391,2.32518006471
7012;Cité Vaneau;26;48.8542210666,2.31961492449
16102;Pergolèse - Marbeau;27;48.8735687069,2.28151252253
19010;Emile Reynaud - Porte de la Villette;22;48.9009895363,2.38870225847
21215;Verdier - Jean Jaurès;33;48.8161404871,2.31235619634
4012;Tiron - Rivoli;28;48.8556922532,2.35790580511
10041;Gare du Nord - La Chapelle;18;48.8841782873,2.35610570759
42026;Barbès - Monique Maunoury;40;48.8155271882,2.36871693349
4018;Saint-Bon - Rivoli;19;48.8579996433,2.35021728098
21011;Silly - Louis Blériot;23;48.8321904537,2.23401993513
44008;Youri Gagarine - Commune de Paris;33;48.782427463,2.39397346973
20142;Mûriers - Père Lachaise;20;48.8641305097,2.39164982067
20003;Pyrénées - Cours de Vincennes;21;48.8477967799,2.40617215633
13006;Duméril - Jeanne d'Arc;41;48.8381516081,2.35710844956
8007;Rome - Provence;30;48.8742300556,2.32557011172
24007;Jean-Baptiste Charcot - Sainte-Geneviève;21;48.9031088372,2.27889295667
12040;Porte de Charenton;67;48.8312401059,2.39891074598
6003;Saint-Sulpice;21;48.8516538318,2.33080778271
33006;André Karman - République;31;48.9103987576,2.38513559103
43002;Lagny - Victor Basch;26;48.8488414719,2.42632541893
5005;Gay Lussac - Saint-Jacques;24;48.8447302561,2.34192394487
43401;Gare RER - Canadiens;45;48.8199530796,2.46417675246
8017;Rocher - Laborde;65;48.8759024071,2.32261631638
43008;Fontenay - Libération;25;48.8478030636,2.44514197111
14138;Porte de Vanves;32;48.8280128494,2.30568788946
14106;Marc Sangnier - Porte de Vanves;21;48.8252186836,2.31071166694
17105;Place Madeleine Daniélou;42;48.883498,2.282015
22016;Charles de Gaulle - Sablonville;26;48.8799192486,2.27637704462
8025;Miromesnil - La Boétie;35;48.8737224129,2.31584809721
15013;Volontaire - Lecourbe;31;48.843513788,2.30655223131
42301;Gare Arcueil - Cachan;26;48.799824,2.328171
20121;Boyer - Ménilmontant;19;48.8688951627,2.39198241456
11036;Jules Ferry - Faubourg du Temple Paris;58;48.868397,2.3678933
18110;Departement - Pajol;19;48.8866748497,2.36136116087
16121;Jardin d'Acclimatation;33;48.8787722425,2.27077223361
5021;Jussieu - Fossés Saint-Bernard;39;48.84718551,2.35348585993
17042;Porte Maillot - Pereire;52;48.877775,2.284444
16129;Ceinture du Lac Inferieure - Saint-Cloud;42;48.8621807093,2.26178716868
13104;Gare d'Austerlitz - Quai Saint-Bernard;27;48.8436903086,2.36571639776
18045;Pierre Ginier - Clichy;16;48.8867667,2.326228
32012;Carrefour Pleyel;36;48.9203415696,2.34385438263
21308;Bara - Henri Farman;36;48.8332180275,2.26775676012
12011;Charenton - Place du Col Bourgoin;35;48.8448673196,2.38257893505
23002;Pont de Levallois-bécon;50;48.8984179,2.2791311
15055;Vasco de Gama;54;48.8367178347,2.28366408565
21019;Edouard Vaillant - Paul-Adolphe Souriau;28;48.8348458588,2.24794596434
18032;Porte de Clignancourt;56;48.897488,2.343996
6107;Place Alphonse Deville;23;48.8501882627,2.32759617269
41204;République - Danton;20;48.8524917218,2.46203452349
15070;Balard - Montagne de la Fage;36;48.8385074033,2.27828711271
16029;Maison de Radio - France;47;48.8513288643,2.27778553963
13122;Parc de Choisy;25;48.8281562516,2.3585135329
13103;Hôpital Pitié Salpêtrière;50;48.8377016,2.3604946
32603;Calmette;32;48.881049251,2.42499321699
18135;Ney - Porte de Montmartre;25;48.897918,2.3364872
1016;Thérèse - Opéra;25;48.8664835145,2.33443342122
13113;Vistule - Choisy;33;48.8236554366,2.36157238483
21108;Mairie de Clichy;51;48.9036536347,2.30593532324
12129;Bois de Vincennes - Porte Jaune;35;48.8387512467,2.46054891497
8011;Clapeyron - Moscou;15;48.8807881951,2.32481505722
19036;Hôpital Robert Debré;33;48.880052222,2.40086503463
15125;Parc Suzanne Lenglen;52;48.8332506905,2.27654032409
21118;Neuilly - Petit;16;48.8989653613,2.29627937078
21029;Cours de l'Ile Seguin - Parc Billancourt;29;48.8271405584,2.23423451185
15072;Place Fernand Forest;33;48.8492691438,2.28186316788
17023;Porte d'Asnières;36;48.8903581761,2.30362862349
44101;Place Mongolfier;39;48.8151600301,2.45928794146
21402;Place Aimé Césaire;27;48.7831947131,2.24291279912
11033;Bréguet - Sabin;33;48.8569316783,2.37067494621
17009;Paul Bodin - Clichy;34;48.8923961462,2.31714259833
20034;Sorbier - Ménilmontant;24;48.8685423957,2.38977212459
13051;Halle Freyssinet - Parvis Alan Turing;23;48.8328468145,2.37114217132
4103;Archives - Rivoli;25;48.8573467074,2.35397670418
4014;Blancs-Manteaux - Archives;29;48.859418007,2.35594712198
18136;Poulet - Barbès;20;48.887148,2.349064
19111;Cesaria Evora - Rosa Parks;40;48.8971767283,2.37451739609
19130;Place Paul Delouvrier;26;48.8919762143,2.38512888551
21505;Édouard Vaillant - Place Jean Jaurès;24;48.86265538,2.20890373191
1116;Ventadour - Opéra;27;48.8668106533,2.33438844825
31020;Résistance - Parmentier;35;48.8596513813,2.43670508265
35005;Quai de l'Aisne - Général Leclerc;27;48.895713,2.400571
2006;Place des Victoires;24;48.8660354,2.3420333
23042;André Theuriet - Blagis;30;48.7797732575,2.31305256486
19006;Mathis - Flandre;55;48.8906429899,2.37625546753
23041;Général Leclerc - Bièvre;25;48.7824144287,2.31666952372
8052;Balzac - Champs Elysées;30;48.8726996396,2.30019539595
13036;Olympiades;36;48.8267646652,2.36508607864
16025;Jean de la Fontaine - Boulainvilliers;68;48.8526479146,2.27586641908
18101;Championnet;22;48.8953643,2.3498166
6004;Regard - Rennes;46;48.847385405,2.32685554773
11016;Philippe-Auguste;48;48.8518534883,2.39329453558
5105;Geoffroy-Saint-Hilaire - Saint-Marcel;17;48.8390782642,2.35687734067
17048;De Toqueville - Terrasse;30;48.882428,2.314002
14013;Liard - Amiral Mouchez;14;48.8214169,2.342167
16110;Octave Feuillet - Albéric Magnard;21;48.8610690295,2.27302830666
26003;Argenteuil - Voltaire;16;48.9186486596,2.28141121566
12151;Gare de Lyon - Place Louis Armand;60;48.8455150898,2.37264984463
19026;Place de Rhin et Danube;17;48.8819276586,2.39258676767
8034;Berri - Haussmann;35;48.8747460474,2.3082953319
14036;Boulard - Daguerre;45;48.8344647268,2.32933860272
48010;Karl Marx;16;48.7845279373,2.36466679795
13002;Arago - Glacière;27;48.8348605478,2.34457705243
21110;Parc Roger Salengro;36;48.9053038586,2.31055945158
9005;Square d'Anvers;34;48.8826334843,2.34488440621
42504;Gare RER de Gentilly;30;48.8142804504,2.34103471041
14021;Place de la Porte de Châtillon;59;48.8242469,2.3186306
41606;Pasteur - Gambetta;19;48.8457279738,2.42360115051
17037;Bayen - Pereire;22;48.8818044091,2.29210887104
25005;18 juin 1940 - Buzenval;25;48.868807,2.185428
16018;Flandrin - Henri Martin;18;48.8643275,2.2724174
33019;Madeleine Vionnet;34;48.9025190741,2.37408958375
31705;Champeaux - Gallieni;50;48.8644591347,2.41617780179
41604;Lagny - Joffre;31;48.8493068708,2.41794973612
7006;Quai Voltaire;32;48.8589429862,2.33141820471
42503;Vladimir Ilitch Lénine - Andrée Chedid;31;48.8131995,2.33214586973
32017;Basilique;22;48.9362689106,2.35886668202
20023;Pelleport - Belgrand;15;48.8650008185,2.40398083638
35003;Gabrielle Josserand - Edouard Vaillant;25;48.9027156626,2.39332705736
15031;Théâtre - Lourmel;53;48.8482070398,2.28986587375
21014;Hameau Fleuri - Marché;22;48.8314488926,2.2412404418
16122;Route de la Muette - Porte de Neuilly;50;48.8798926,2.2587671
20137;Borrégo - Gambetta;25;48.8733049705,2.40141458809
19023;Manin - Simon Bolivar;26;48.8764996541,2.3794073626
2010;Uzès - Montmartre;29;48.8707909802,2.34310101718
32018;Franciade - Gabriel Péri;26;48.9326149933,2.35595449805
18014;Léon - Doudeauville;13;48.8883242185,2.35357337264
23005;Gare de Clichy-Levallois;26;48.8967982748,2.29846805334
14128;Gergovie - Vercingétorix;29;48.8345341388,2.31315454743
12125;Pyramide - Parc Floral;50;48.837442,2.440452
21115;Chancé Milly - Cimetière Communal Sud;32;48.8968718938,2.30392232537
10012;Vinaigriers - Magenta;25;48.8731167,2.3593052
21702;Gare SNCF Vanves-Malakoff;51;48.8190021638,2.2921500051
44016;Balzac - Olympes de Gouges;28;48.7785033249,2.400678657
17123;Mstislav Rostropovitch - Berthier;18;48.8921208212,2.30923410505
41211;Louis Xavier de Ricard - Ancienne Mairie;34;48.8462989907,2.47242037207
12101;Charenton - Prague;26;48.84817513,2.37635844943
20022;Porte de Bagnolet;33;48.8647071391,2.40834463735
20104;Louis Lumière;22;48.8621619807,2.41112578186
17019;Phalsbourg - Villiers;20;48.882423079,2.30904534459
4108;Quai de Béthune - Pont de la Tournelle;25;48.8509743319,2.35630720854
32013;Université;24;48.9456343095,2.363829799
15111;Olivier de Serres - Leriche;25;48.8346022172,2.2957482934
14022;Didot - Mariniers;35;48.8265054361,2.31313619827
19012;Lally-Tollendal - Armand Carrel;28;48.8827006622,2.37471755594
18015;Custine - Ramey;41;48.8887358969,2.34695266932
32019;Place du 8 mai 1945;30;48.9388822721,2.35662437975
12165;Champs de Manoeuvre - Cartoucherie;0;48.8340712158,2.44561329738
6026;Saint-Placide - Cherche Midi;66;48.8490535919,2.32531797141
17021;Jouffroy d'Abbans - Villiers;34;48.884215547,2.30565335602
5003;Le Goff - Gay-Lussac;35;48.846102401,2.34122078866
11022;Roquette - Auguste Laurent;16;48.858001906,2.38179770265
20012;Buzenval - Vignoles;17;48.8538581717,2.40000408143
14009;Tombe Issoire - René Coty;36;48.8305128767,2.33436137438
16116;George Sand - Jean de La Fontaine;30;48.8498691876,2.26825738753
11029;Ménilmontant - Oberkampf;40;48.8666176587,2.38301344042
15114;Pasteur - Cotentin;33;48.8389284,2.316356
8003;Galilée - Vernet;17;48.8717158787,2.2985444963
14025;Jacquier - Didot;30;48.8295333629,2.31817927212
12109;Mairie du 12ème;30;48.8408553118,2.38755494356
14111;Cassini - Denfert-Rochereau;25;48.8375258391,2.33603540808
22207;Rond-point du Dr Albert Schweitzer;22;48.7898091899,2.31439400464
9008;Tour d'Auvergne - Rodier;17;48.879161,2.343698
41303;Gare de Nogent-le-Perreux;32;48.8384255335,2.49369330704
10162;Alexandre Parodi - Quai de Valmy;24;48.8793594194,2.36659616232
15112;Vigée-Lebrun - Anselme Payen;24;48.8386839416,2.3110422492
15042;Henry Farman;16;48.8337243028,2.27138545364
8045;Place de la Reine Astrid;58;48.8649209825,2.30254918239
21312;Lucie Aubrac - Fort;30;48.818144834,2.27118462324
15054;Lecourbe - Jean Maridor;19;48.8379636615,2.28773921728
16008;Galilée - Kléber;33;48.8674118657,2.29078138011
16108;Sablons - Georges Mandel;38;48.863875,2.28189
19032;Villette - Belleville;48;48.8726877314,2.37646132708
16136;Théophile Gautier - François Millet;30;48.8503482132,2.27302998304
8057;Hoche - Tilsitt;33;48.8748364578,2.29713231325
24001;Arche - Léonard de Vinci;28;48.8979097249,2.23837230436
11035;Parmentier - Abel Rabaud;53;48.8692127384,2.37168882124
42302;Aristide Briand - Gare de Bagneux;22;48.7938726966,2.32114881277
19008;Flandre - Alphonse Karr;26;48.89465,2.381868
32016;Place de la Porte de Paris;40;48.9300936321,2.35640376806
41402;Victor Hugo - Ecoles;25;48.8047600794,2.41803739303
10113;Parmentier - Hôpital Saint-Louis;43;48.8713798743,2.36989638367
17011;Fragonard - Porte de Clichy;56;48.8941556334,2.31438931078
15122;Place Charles Vallin;26;48.835523812,2.30259865522
20120;Evariste Galois;30;48.8730875373,2.41333801299
20040;Parc de Belleville - Julien Lacroix;26;48.8703459,2.3842214
13026;Place Jean Delay;35;48.823316,2.354336
31019;Vincennes - Douy-Delcupe;38;48.8549369216,2.43604928255
44012;Génie - Mozart;19;48.7949023812,2.37341836095
9117;Bellefond - Maubeuge;31;48.8782553976,2.34526421875
12107;Diderot - Pierre Bourdan;21;48.8476486208,2.39025827497
7008;Villersexel - Saint-Germain;16;48.8582970012,2.32379347086
15059;Parc André Citroën;65;48.8406399443,2.27806180716
16016;Paul Doumer - La Tour;34;48.8601161096,2.28084048191
7110;Quai Anatole France - Musée d'Orsay;12;48.8612117406,2.32424609363
33005;République - Henri Barbusse;32;48.9066155363,2.38943248987
10164;Claude Vellefaux - Sambre et Meuse;34;48.875022,2.370478
8049;Georges V - François 1er;22;48.87034,2.30082
22012;Madeleine Michelis - Roule;25;48.882604313,2.27736342698
31017;Jean Moulin - Paul Doumer;20;48.8622179855,2.45533436537
92005;Gare de Nanterre Ville;43;48.8950295,2.1957932
14101;Gare Montparnasse - Edgar Quinet;33;48.8414878511,2.32332322828
5014;Jean Calvin - Tournefort;28;48.8415885693,2.34848957509
22206;Louis Pasteur - Albert Petit;31;48.796261,2.317289
24003;Place Charles de Gaulle;28;48.8966431015,2.25257009268
13516;Glacière - Soeur Catherine Marie;40;48.8295229894,2.34357040375
7109;Place Joffre - Frédéric le Play;38;48.8537544869,2.30442423373
10019;Paradis - Hauteville;31;48.8749999547,2.35227574019
5007;Ecoles - Carmes;36;48.848904448,2.34734863043
8044;Alfred de Vigny - Place du Général Brocard;33;48.8783613836,2.30525444822
14132;Bézout - Général Leclerc;30;48.828848045,2.32859730721
4009;Village Saint-Paul;28;48.8526398666,2.3607301712
6007;Bréa - Raspail;24;48.8427384783,2.32979422176
12123;Château de Vincennes;52;48.8442319326,2.43920953771
13024;Bobillot - Tolbiac;33;48.8255961335,2.3502041772
15069;Félix Faure - Convention;44;48.841249336,2.28838660085
15024;Suffren - La Motte-Piquet;23;48.8508812309,2.30121999979
41602;Place Charles Digeon;32;48.8435420313,2.41842716932
14004;Port Royal - Hôpital Cochin;23;48.8383732338,2.34071787447
14035;Maine - Jean Zay;50;48.8379252639,2.32254289091
20005;Reynaldo Hahn - Lagny;19;48.8492660436,2.41233032884
6005;Montparnasse -  Square Ozanam;49;48.8433105678,2.32652429491
21007;Rond-Point Rhin et Danube;53;48.840452821,2.22802251577
13013;Saint-Marcel - Hôpital;21;48.8395044246,2.36098941702
5110;Lacépède - Monge;23;48.8438928653,2.35196638852
7011;Las Cases - Bourgogne;22;48.8590911047,2.3185685277
13118;Regnault - Patay;63;48.8243578222,2.37706515938
9038;Douai - Bruxelles;27;48.8832078412,2.3308449949
1001;Quai de l'Horloge - Pont Neuf;17;48.8570587391,2.34179828394
8036;Lisbonne - Monceau;33;48.8774556768,2.30969422142
9022;Rossini - Laffitte;33;48.8733462751,2.3379808677
20042;Pyrénées - Emmery;40;48.8720102813,2.39203959703
15067;Desaix - Edgar Faure;12;48.8528046049,2.29307702986
21212;Marne - Germain Dardan;22;48.811542704,2.30307072401
42706;Roger Salengro - Fontainebleau;25;48.8145486973,2.36116636544
20131;Repos - Cimetière du Père Lachaise;33;48.8593585236,2.38961313668
42027;Verdun - Pierre et Marie Curie;0;48.8127388528,2.37079328705
35020;Marcelle - Thalie;20;48.8835462,2.4137883
19029;Seine - Flandre;19;48.8867857415,2.37461932003
19013;Laumière - Petit;34;48.8846736854,2.38003905863
26007;Square Gilbert Thomain;20;48.9071737381,2.26954009384
19005;Flandre - Riquet;21;48.8880132814,2.37375959552
15025;Dupleix - du Guesclin;47;48.8514791041,2.29670953006
11102;Alexandre Dumas - Voltaire;59;48.8528886704,2.38914764081
19004;Quai de la Loire - Jean Jaurès;16;48.8833973385,2.37107452298
20043;Charonne - Avron;27;48.8516026652,2.39840304704
19019;Petit - Manin;22;48.8865068753,2.39381554013
17018;Parc Monceau;18;48.8810779141,2.30954926461
21105;Morice - Général Leclerc;25;48.9024547198,2.31289297342
20109;Haxo - Surmelin;21;48.8694370761,2.40539657538
32014;Place du Cornillon - Stade de France;34;48.9254069584,2.36444268376
44102;Verdun - Adrien Damalix;26;48.8222334179,2.42153283209
22001;Château - Bineau;23;48.8904040286,2.27010637522
9031;Provence - Chaussée d'Antin;25;48.8742844754,2.33297651156
47004;Stade Auguste Delaune;21;48.8089637868,2.43452042341
18008;Square Léon;33;48.8866739679,2.35320556909
10010;Place Jacques Bonsergent;33;48.8709482186,2.3612049222
1117;Pont Neuf - Rivoli;27;48.8600898926,2.34405755997
31023;Place François Mitterand;34;48.8649278202,2.4429583177
15020;Mairie du 15ème;32;48.8417762,2.2986539
10026;Gare de l'Est - Chateau Landon;59;48.879305,2.362424
9013;Mairie du 9ème;24;48.8732671376,2.34075344805
13047;Boutroux - Porte de Vitry;49;48.822632,2.377738
22009;Charles de Gaulle - Orléans;26;48.880922251,2.27158159018
19124;Alexander Fleming - Belvédère;31;48.881790642,2.40305993776
14113;Santé - Arago;38;48.8350765756,2.3415737262
12006;Gare de Lyon - Van Gogh;51;48.8438397856,2.37044502404
16007;Longchamp - Place d'Iéna;40;48.8649172334,2.29267481714
5034;Censier - Santeuil;69;48.8406589214,2.35375240445
20122;Vitruve - Davout;23;48.8605316115,2.40915928126
4016;Lobau - Hôtel de Ville;60;48.8562118,2.3532536
14131;Jourdan - Monticelli;30;48.822032,2.329095
22303;Lucien Lanternier - Le Luth;27;48.9315943056,2.28897839785
92001;Mairie de quartier du Plateau - Mont-Valérien;20;48.8799933,2.2072437
15004;Vaugirard - Pasteur;21;48.840408688,2.3154367134
19128;Quai de l'Oise - Aisne;30;48.8906231,2.3833701
18044;Clichy - Douai;32;48.8841183189,2.32872873545
12038;Picpus - Louis Braille;44;48.8399887889,2.40052566855
12035;Madagascar - Meuniers;33;48.8346046447,2.3970650509
41403;Gare RER - Malleret-Joinville;20;48.802936,2.42531
16005;Raymond Poincaré - Place Victor Hugo;25;48.8703061244,2.28507454142
11112;Jules Vallès - Charonne;23;48.8542843799,2.38476745784
19110;Square Claude Bernard;30;48.8987601622,2.37532574683
5015;Epée de Bois - Mouffetard;63;48.8415086904,2.35006671399
18004;Place des Abbesses;12;48.8845427261,2.33868677169
3010;Beaubourg - Michel-le-Comte;18;48.8625349418,2.35431030393
2015;Louis le Grand - Italiens;33;48.8705089372,2.33405446194
12020;Cours de Vincennes - Soult;45;48.8469187616,2.4105220288
19129;Solitaires - Place des Fêtes;29;48.876601,2.391769
35012;Candale - Mehul;25;48.8893935006,2.41437971592
22601;Marx Dormoy - Château Sainte-Barbe;22;48.7917823411,2.29785684496
21119;Belfort - Victor Hugo;24;48.9018492,2.3172724
11014;Place de la Nation - Taillebourg;47;48.8488408,2.3973043
16017;Siam - La Pompe;16;48.861720329,2.27534656856
22404;Pierre Brossolette - 12 Février 1934;25;48.8176962417,2.30761237442
21023;Ancienne Mairie - André Morizet;25;48.838311,2.234077
15044;Dantzig - Lefebvre;33;48.8301392159,2.29593403637
8039;Colisée - Champs-Elysées;24;48.8704753994,2.30761907995
22007;Commandant Charcot - Bretteville;36;48.8753057077,2.25584607571
5001;Harpe - Saint-Germain;46;48.851518815,2.34367031604
13007;Le Brun - Gobelins;48;48.8350927878,2.35346813513
6021;Beaux-Arts - Bonaparte;20;48.8564519854,2.33485188335
44017;Jules Guesde - Pont du Port à l'Anglais;30;48.7962880709,2.41721212864
7004;Raspail - Varenne;18;48.8531478165,2.32639051974
11113;Richard Lenoir - Republique;58;48.8667175,2.3692541
19044;Grands Moulins de Pantin;50;48.8973836972,2.39599853754
18046;Etienne Jodelle - Saint Ouen;33;48.8879401639,2.32612442031
21005;Hôtel de Ville de Boulogne Billancourt;26;48.8349588517,2.24168032408
21015;Nationale - Place Jules Guesde;23;48.8275396246,2.24160522223
15034;Lakanal - Commerce;53;48.8444246279,2.29405917227
18009;Jean-François Lépine - Stephenson;22;48.886114668,2.35685562753
32302;Chemin Vert - Fraternité;20;48.8771412084,2.44615651667
9032;Mathurins - Auber;36;48.8729888407,2.32949842123
20111;Villiers de l'Isle Adam - Pyrénées;20;48.867362,2.396222
43003;Hôpital Bégin;26;48.8457167211,2.42724627256
21313;Guynemer - Séverine;26;48.8309174337,2.27907065302
32303;Gaston Roussel - Commune de Paris;30;48.8943203455,2.43255227442
11115;Montreuil - Gonnet;24;48.8505005649,2.38908562879
32602;Mairie des Lilas;47;48.8792834,2.4160182
43402;Place de Verdun;40;48.8202823,2.473775
19115;Porte de la Villette;27;48.8983519655,2.38615013659
32010;Place aux Étoiles;40;48.9183562941,2.35234256834
21403;Gare de Clamart;14;48.813835356,2.27227896452
35009;Jean Lolive - Parc Stalingrad;23;48.892061744,2.40917354822
12032;Porte Dorée;36;48.8354337,2.4077132
16004;Université Paris Dauphine;0;48.87070784,2.27486561984
6030;Assas - Vaugirard;35;48.8482741114,2.32924137264
47005;Ecole Vétérinaire;36;48.8148885982,2.42243621578
19127;Aubervilliers - Curial;23;48.8908830523,2.36885793507
14112;Méchain - Faubourg Saint-Jacques;16;48.835867721,2.33798034198
32015;Gare RER de Saint-Denis;40;48.9355432425,2.34714880586
1120;Lavandieres Sainte Opportune - Rivoli;27;48.8592797025,2.34662175179
8001;Petit Palais;43;48.8667692,2.3157655
12161;Diderot - Reuilly;44;48.8472084561,2.38612733781
15107;Palais des Sports;22;48.8334685174,2.28587206453
7016;Surcouf - Université;58;48.8612730163,2.30945355091
9015;Lamartine - Faubourg Montmartre;32;48.8766139829,2.33976569027
12033;François Truffaut - Saint Emilion;66;48.8337235434,2.38660190327
21009;Le Corbusier - Jean Jaurès;46;48.8378083056,2.24083811045
22403;Pierre Brossolette - Adolphe Pinard;24;48.8217722795,2.31315582991
13117;Stade Georges Carpentier;40;48.8204824384,2.36683219671
17029;Pierre Demours - Laugier;37;48.8813072,2.294846
17033;Carnot - Général Lanrezac;33;48.8754438707,2.2938242935
12105;Bercy - Villot;34;48.841795009,2.37678501848
22008;Charles de Gaulle - Graviers;28;48.8831517592,2.26488143206
18027;Damrémont - Ordener;30;48.893400393,2.33626652391
4001;Arcole - Notre-Dame;31;48.8538835413,2.3493797332
4002;Marché aux fleurs;23;48.8552581154,2.34737545252
43010;La Jarry - Place Diderot;25;48.8497269404,2.45201379061
6027;Blaise-Desgoffe - Vaugirard;32;48.8461288777,2.32426721603
5115;Buffon - Jardin des Plantes;30;48.8426684661,2.36185871065
33014;Parc Eli Lotar;20;48.9184499305,2.37270858139
23102;Hôtel de Ville;32;48.8243635613,2.21310473979
16105;Crevaux - Bugeaud;31;48.8708094287,2.28114900769
48004;Maxime Gorki - Louis Aragon;20;48.7890981473,2.36838787794
16042;Murat - Porte de Saint-Cloud;38;48.8375086262,2.25776519626
47003;Charentonneau - Maisons Alfort;20;48.8099329805,2.4432884565
20029;Frères Flavien - Porte des Lilas;23;48.8780992764,2.41104629853
3009;Temple - Haudriettes;19;48.8616368802,2.35669602065
5122;Saint-Michel - Luxembourg;0;48.845,2.339787
3003;Fille du Calvaire - Turenne;29;48.8621050541,2.36496001482
16044;Porte de Saint Cloud - Parc des Princes;32;48.8386627571,2.2525164485
2009;Filles Saint-Thomas - Place de la Bourse;58;48.8688998909,2.33975438452
2008;Mairie du 2ème;28;48.8672190355,2.34046254377
12157;Fabre d'Eglantine - Place de la Nation;68;48.8471116,2.3956204
18112;Arthur Ranc - Hôpital Bichat;26;48.8978712501,2.33352184296
19118;Simon Bolivar - Henri Turot;22;48.876887,2.374454
42024;Danielle Casanova - Ledru-Rollin;28;48.8157834979,2.3832597211
11111;Léon Frot - Charonne;19;48.8549638003,2.38721708537
20110;Gambetta - Tourelles;20;48.8753379023,2.40599211305
20020;Pyrénées - Charles Renouvier;29;48.8609593323,2.40042185204
15045;Porte de la Plaine;35;48.8280516961,2.29242771864
6028;Quatre Vents - Carrefour de l'Odéon;37;48.8517513745,2.33816169513
16023;Passy - Place du Costa Rica;33;48.8584893,2.2839655
16104;Paul Valery - Victor Hugo;35;48.8713740608,2.28871285915
13037;Ivry - Baudricourt;20;48.8246959954,2.36310607358
6108;Saint-Romain - Cherche-Midi;17;48.8470815908,2.32137478888
42016;Pierre et Marie Curie - Maurice Thorez;27;48.8158022636,2.37680498511
25006;Place Nelson Mandela;22;48.8620909377,2.19657629728
13101;Croulebarde - Corvisart;34;48.8309816593,2.34816469252
43009;Place Jean-Spire-Lemaître;50;48.8468428627,2.45206207037
19105;Ambroise Rendu - Porte Brunet;17;48.883667,2.395733
10025;Jemmapes - Ecluses Saint-Martin;15;48.8774851919,2.36600674689
17012;Mairie du 17ème;24;48.8841618487,2.3220794311
11047;Amelot - Saint-Sébastien;30;48.8611421628,2.36779961811
5032;Panthéon - Valette;39;48.8470205717,2.34649826197
14003;Schoelcher - Raspail;50;48.8368173353,2.33127940804
5018;Mutualité;37;48.8482255727,2.35028732568
15106;Grenelle - Violet;35;48.8499303551,2.29461204261
5124;Erasme - Ulm;24;48.8426437527,2.34459467232
32604;Square du Théâtre du Garde-Chasse;50;48.8812873751,2.42011964321
15046;Parc Georges Brassens - Brancion;29;48.8322782927,2.30225700885
17028;Reims - Raymond Pitet;37;48.8888,2.296319
21302;Aristide Briand - Place de la Résistance;25;48.821242484,2.25110024214
16111;Faustin Hélie - Desbordes-Valmore;33;48.859403,2.276522
12115;Porte de Vincennes;33;48.846454,2.415514
24002;Gare de Courbevoie;36;48.8993867,2.2506506
12106;Gare de Lyon - Roland Barthes;68;48.8439572949,2.37908821553
33003;Bordier - Félix Faure;48;48.9039075188,2.38300591707
15126;Ernest Renan - Parc des Expositions;50;48.8308975701,2.2853584215
12126;Gravelle - Route du Bac;51;48.824407,2.418455
17017;Gare de Pont-Cardinet;34;48.8871390148,2.31449414399
7014;Saint-François-Xavier;42;48.8515448477,2.31461495161
6103;Mézières - Rennes;55;48.8502345932,2.33038198203
19109;Tanger - Place du Maroc;19;48.8862524447,2.36892968416
22101;Gare Routière de Saint Cloud;31;48.842881839,2.22224503756
18025;Mairie du 18ème;40;48.8929392969,2.34455108643
11040;Temple - Jean-Pierre Timbaud;36;48.864465972,2.36605972052
18109;Pajol - Riquet;47;48.8896002813,2.36285347492
18029;Emile Blemont - Poteau;39;48.8943782,2.3415122
31703;Sadi Carnot - François Mitterrand;27;48.8753268767,2.4241617322
11010;Boulets - Faubourg Saint-Antoine;43;48.8492592621,2.39175461419
9017;Lallier - Trudaine;29;48.8810924662,2.34082248062
16112;Chernoviz - Raynouard;37;48.8569864146,2.28217321814
15003;Gare Montparnasse - Vaugirard;66;48.8418071799,2.3195100269
31013;Centenaire - Sorins;45;48.8585352336,2.42735087872
18001;Damrémont - Caulaincourt;18;48.8871450908,2.33258809894
35008;Place de l'Eglise;30;48.8928094615,2.41243511438
5028;Censier - Jardin des Plantes;28;48.8410717816,2.35547538847
20117;Saint-Fargeau - Mortier;33;48.8726665612,2.40791290998
31101;Jules Guesde - Laennec;19;48.876289839,2.50069420785
21316;Cimetière Communal;24;48.8176997739,2.26093120873
22604;Hôtel de Ville de Fontenay-aux-Roses;34;48.7908446035,2.28714559303
20007;Buzenval - Avron;50;48.851617205,2.40151359731
42701;Charles Gide - Fort de Bicêtre;30;48.8071937957,2.35398441553
13109;Brillat-Savarin - Küss;21;48.822203,2.350422
35007;Benjamin Delessert - Jean Lolive;21;48.8939204362,2.41798192263
13106;Bobillot - Paulin Mery;23;48.8298998417,2.35433567667
15064;Javel - André Citroën;45;48.8462764855,2.27863680571
23004;Paul Vaillant-Couturier - Victor Hugo;36;48.8981970226,2.29384801797
9027;Douai - Pierre Fontaine;25;48.8822910115,2.33324121684
35006;Delizy - Louis Nadot;23;48.8962128456,2.40945786238
14137;Maurice d'Ocagne - General Maudhuy;30;48.8241428252,2.31587894261
